"author","title category","title","date","page"
" 'Jane Taylor',"," 'Animals',"," '10 Craziest Living Things Swallowed By Sharks',"," 'January 4, 2017',",17
" 'Abraham Rinquist',"," 'Religion',"," '10 Dark Secrets Of The Sun Cults',"," 'January 4, 2017',",17
" 'Listverse Staff',"," 'Creepy',"," 'Video: 10 Movie Sets That Came With A Real Curse',"," 'January 3, 2017',",17
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Greek Life',"," 'January 3, 2017',",17
" 'Gary Pullman',"," 'Animals',"," '10 Terrifying Snake Invasions',"," 'January 3, 2017',",17
" 'McMot Matthew',"," 'Crime',"," 'Top 10 Nazi Collaborators Who Were Jews',"," 'January 3, 2017',",17
" 'J.Etta',"," 'Facts',"," '10 Secret Service Facts You Probably Don’t Know',"," 'January 2, 2017',",17
" 'Radu Alexander',"," 'Movies and TV',"," '10 Dark Hollywood Scandals That Are Long Forgotten',"," 'January 2, 2017',",17
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",17
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",17
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",17
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",17
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",17
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",17
"Jana Louise Smit',"," 'History',","10 Tsunamis From Ancient Times That Were Terrifying',","January 2, 2017',",18
" 'Morris M.',"," 'Our World',"," '10 Mind-Blowing Things That Happened Last Month',"," 'January 2, 2017',",18
" 'Shannon Quinn',"," 'Movies and TV',"," 'Top 10 Nazi Propaganda Films',"," 'January 1, 2017',",18
" 'Lee D.',"," 'Our World',"," '10 Fascinating Wonders Of Antarctica',"," 'January 1, 2017',",18
" 'Mike Floorwalker',"," 'History',"," '10 Cool Gadgets That Are Actually Historical',"," 'January 1, 2017',",18
" 'Listverse Staff',"," 'Weird Stuff',"," 'Video: 10 People Who Died After Seeing A UFO',"," 'December 31, 2016',",18
" 'Morris M.',"," 'Weird Stuff',"," '10 Terrifying Predictions For 2017',"," 'December 31, 2016',",18
" 'Elizabeth Yetter',"," 'Creepy',"," '10 Instances Of Medicinal Cannibalism And Vampirism',"," 'December 31, 2016',",18
" 'Brian Tyler Brennglass',"," 'Food',"," '10 Novel Ways Ice Cream Is Being Reinvented',"," 'December 31, 2016',",18
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",18
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",18
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",18
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",18
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",18
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",18
"Gary Pullman',"," 'Crime',","10 Murder Victims Whose Bodies Were Found At Bottoms Of Wells',","December 30, 2016',",19
" 'Ann Feeney',"," 'Travel',"," '10 Of The Most Beautiful Maps Ever Created',"," 'December 30, 2016',",19
" 'Kyle D',"," 'Our World',"," '10 Things The Internet Blew Out Of Proportion In 2016',"," 'December 30, 2016',",19
" 'A. C. Grimes',"," 'Humans',"," '10 Selfless Heroes Who Made The World A Happier Place',"," 'December 29, 2016',",19
" 'R. Hendrix',"," 'History',"," '10 Frozen Timepieces That Marked Death And Disaster',"," 'December 29, 2016',",19
" 'Benjamin Welton',"," 'Movies and TV',"," 'Top 10 Great Horror Movies You’ve Never Heard Of',"," 'December 29, 2016',",19
" 'Estelle Thurtle',"," 'Music',"," 'Top 10 Insane Conspiracy Theories About Music Stars',"," 'December 28, 2016',",19
" 'J. Raughty',"," 'History',"," '10 Historical Cases Of Forced Tattooing',"," 'December 28, 2016',",19
" 'Jana Louise Smit',"," 'Animals',"," 'Top 10 Discoveries Changing T. Rex Forever',"," 'December 28, 2016',",19
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",19
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",19
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",19
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",19
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",19
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",19
"Aoxue W.',"," 'Our World',","10 Incredible Inventions Inspired By Plants And Animals',","December 27, 2016',",20
" 'Michael Meillarec',"," 'Pop Culture',"," '10 Extreme Post-Apocalyptic Societies',"," 'December 27, 2016',",20
" 'Ann Feeney',"," 'History',"," '10 Male Sex Workers Who Made History',"," 'December 27, 2016',",20
" 'Abraham Rinquist',"," 'Mysteries',"," '10 Mysterious Jade Relics',"," 'December 26, 2016',",20
" 'Mike Floorwalker',"," 'Movies and TV',"," 'Top 10 Least Loved Event Films Of 2016',"," 'December 26, 2016',",20
" 'Gary Pullman',"," 'Food',"," '10 Elaborate Gingerbread Houses',"," 'December 26, 2016',",20
" 'Ben Gazur',"," 'Weird Stuff',"," '10 Bizarre Christmas Cards From The Past',"," 'December 25, 2016',",20
" 'Benjamin Welton',"," 'Creepy',"," '10 Dark Legends Of The Yuletide Season',"," 'December 25, 2016',",20
" 'Edward Wright',"," 'Facts',"," '10 Things You Didn’t Know About The First Christmas',"," 'December 25, 2016',",20
" 'Mark Oliver',"," 'History',"," '10 Truly Disgusting Facts About Ancient Roman Life',"," 'August 23, 2016',",20
" 'Marcus Lowth',"," 'Weird Stuff',"," '10 Alleged Discoveries That Suggest Giants Existed',"," 'May 7, 2016',",20
" 'David Tormsen',"," 'Space',"," '10 Hypothetical Forms Of Life',"," 'July 17, 2015',",20
" 'Leonius',"," 'Creepy',"," '10 Creepypasta That Will Scare You Silly',"," 'April 3, 2014',",20
" 'GCchange',"," 'Crime',"," '10 Poisons Used To Kill People',"," 'December 2, 2012',",20
" 'Jamie Frater'"," 'Weird Stuff'"," 'Top 10 Incredible Recordings'"," 'July 15, 2007'",20
